,Arrond,Month,DayOfWeek,TimeOfDay,Temp,WindSpd,SnowOnGrnd,Holiday,Busy_real,Busy_predicted,Success
67,Ville-Marie,August,Monday,Evening,0.8079452055,0.1835106383,0,0,1,1,1
2549,Côte-Saint-Luc,August,Monday,Evening,0.8079452055,0.1835106383,0,0,0,0,1
6831,Anjou,August,Monday,Evening,0.8079452055,0.1835106383,0,0,0,0,1
18343,Le Sud-Ouest,August,Monday,Evening,0.8079452055,0.1835106383,0,0,0,0,1
37846,Kirkland,August,Monday,Evening,0.8079452055,0.1835106383,0,0,0,0,1
69496,Rivière-des-Prairies-Pointe-aux-Trembles,August,Monday,Evening,0.8079452055,0.1835106383,0,0,1,0,0
71819,Westmount,August,Monday,Evening,0.8079452055,0.1835106383,0,0,0,0,1
87820,Mont-Royal,August,Monday,Evening,0.8079452055,0.1835106383,0,0,0,0,1
110414,Ahuntsic-Cartierville,August,Monday,Evening,0.8079452055,0.1835106383,0,0,0,0,1
125086,Mercier-Hochelaga-Maisonneuve,August,Monday,Evening,0.8079452055,0.1835106383,0,0,1,0,0
